Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.347	-0.293
0.346	0.195
0.346	-0.293
0.346	0.195
0.346	-0.293
0.346	0.195
0.345	-0.293
0.345	0.195
0.345	-0.293
0.344	0.195
0.344	-0.293
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.293
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.344	0.195
0.343	-0.391
0.343	0.195
0.342	-0.391
0.342	0.195
0.342	-0.293
0.342	0.195
0.341	-0.293
0.340	0.195
0.339	-0.391
0.339	0.195
0.339	-0.293
0.338	0.195
0.338	-0.391
0.337	0.195
0.337	-0.391
0.336	0.195
0.335	-0.391
0.335	0.195
0.335	-0.391
0.334	0.195
0.334	-0.391
0.333	0.195
0.333	-0.391
0.333	0.195
0.333	-0.391
0.332	0.195
0.332	-0.391
0.331	0.195
0.331	-0.391
0.330	0.195
0.330	-0.293
0.330	0.195
0.329	-0.293
0.329	0.195
0.328	-0.391
0.328	0.195
0.327	-0.391
0.326	0.195
0.326	-0.391
0.325	0.195
0.325	-0.391
0.325	0.195
0.324	-0.391
0.324	0.195
0.324	-0.391
0.324	0.195
0.324	-0.391
0.323	0.195
0.323	-0.391
0.323	0.195
0.323	-0.391
0.322	0.195
0.322	-0.391
0.322	0.195
0.321	-0.293
0.320	0.195
