Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.930	-0.029
-0.930	-0.029
-0.930	-0.020
-0.930	-0.039
-0.930	-0.020
-0.930	-0.039
-0.930	-0.020
-0.930	-0.029
-0.930	-0.020
-0.930	-0.029
-0.930	-0.010
-0.930	-0.039
-0.930	-0.020
-0.930	-0.039
-0.930	-0.020
-0.930	-0.029
-0.930	-0.029
-0.930	-0.039
-0.930	-0.020
-0.930	-0.029
-0.930	-0.020
-0.930	-0.039
-0.930	-0.020
-0.930	-0.029
-0.930	-0.020
-0.929	-0.029
-0.928	-0.020
-0.927	-0.039
-0.926	-0.010
-0.924	-0.039
-0.922	-0.020
-0.919	-0.029
-0.917	-0.020
-0.915	-0.039
-0.914	-0.020
-0.913	-0.029
-0.911	-0.020
-0.910	-0.039
-0.908	-0.010
-0.906	-0.039
-0.903	-0.010
-0.901	-0.039
-0.898	-0.020
-0.896	-0.039
-0.893	-0.020
-0.892	-0.029
-0.891	-0.010
-0.890	-0.029
-0.889	-0.020
-0.889	-0.029
-0.888	-0.020
-0.887	-0.039
-0.887	0.000
-0.886	-0.039
-0.885	-0.010
-0.884	-0.029
-0.883	-0.010
-0.883	-0.039
-0.883	-0.010
-0.883	-0.039
-0.883	-0.010
-0.883	-0.039
-0.883	-0.010
-0.882	-0.029
-0.882	-0.020
-0.880	-0.029
-0.878	-0.010
-0.876	-0.029
-0.875	-0.020
-0.874	-0.029
-0.874	0.000
-0.873	-0.039
-0.873	-0.010
-0.873	-0.029
-0.872	-0.020
-0.871	-0.039
-0.870	0.000
-0.870	-0.039
-0.869	0.000
-0.869	-0.039
-0.869	0.000
-0.869	-0.039
-0.868	0.000
-0.868	-0.029
-0.868	0.000
-0.868	-0.039
-0.868	0.000
-0.868	-0.039
-0.868	0.000
-0.868	-0.039
-0.868	0.000
-0.867	-0.029
-0.867	-0.010
-0.867	-0.029
-0.867	-0.010
-0.867	-0.020
-0.867	-0.010
-0.866	-0.039
-0.865	0.000
-0.863	-0.039
-0.861	-0.010
-0.860	-0.029
-0.860	0.000
-0.859	-0.039
-0.859	0.000
-0.858	-0.029
-0.858	0.000
-0.857	-0.029
-0.856	-0.010
-0.856	-0.039
-0.856	-0.020
-0.855	-0.029
-0.855	0.000
-0.854	-0.029
-0.854	0.000
-0.854	-0.029
-0.853	0.000
-0.853	-0.029
-0.852	0.000
-0.852	-0.039
-0.852	0.000
-0.851	-0.029
-0.850	0.000
-0.849	-0.029
-0.847	0.000
-0.845	-0.029
-0.843	0.000
-0.840	-0.039
-0.838	0.000
-0.836	-0.039
-0.833	0.000
-0.832	-0.029
-0.830	-0.010
-0.829	-0.029
-0.828	0.000
-0.828	-0.039
-0.827	0.000
-0.826	-0.029
-0.825	0.000
-0.824	-0.039
-0.823	0.000
-0.822	-0.029
-0.821	0.000
-0.821	-0.029
-0.820	0.000
-0.819	-0.039
-0.817	0.000
-0.816	-0.039
-0.814	0.010
-0.813	-0.029
-0.811	0.000
-0.810	-0.029
-0.809	0.000
-0.808	-0.020
-0.808	0.000
-0.807	-0.039
-0.807	-0.010
-0.807	-0.029
-0.806	0.000
-0.806	-0.029
-0.806	0.000
-0.806	-0.039
-0.806	0.000
-0.806	-0.029
-0.805	0.000
-0.805	-0.029
-0.804	-0.010
-0.804	-0.029
-0.804	-0.010
-0.804	-0.029
-0.804	0.000
-0.803	-0.029
-0.803	0.000
-0.803	-0.049
-0.803	0.000
-0.802	-0.039
-0.802	0.000
-0.802	-0.029
-0.801	0.000
-0.800	-0.039
-0.799	0.000
-0.799	-0.049
-0.798	-0.010
-0.798	-0.049
-0.797	0.000
-0.797	-0.039
-0.796	0.000
-0.795	-0.029
-0.794	0.000
-0.792	-0.029
-0.790	0.000
-0.788	-0.029
-0.785	0.010
-0.784	-0.020
-0.782	0.000
-0.781	-0.020
-0.780	0.010
-0.779	-0.029
-0.778	0.000
-0.777	-0.020
-0.776	0.010
-0.775	-0.029
-0.773	0.010
-0.772	-0.029
-0.771	0.000
-0.769	-0.039
-0.768	0.000
-0.766	-0.039
-0.765	0.000
-0.764	-0.039
-0.763	0.000
